workers,corrida,tiempo_segundos
105,57,14.0878
105,58,14.2805
105,59,14.2807
105,60,14.0642
105,61,14.2198
105,62,14.0476
105,63,14.3325
105,64,14.1574
105,65,14.2556
105,66,14.1468
105,67,14.0951
105,68,14.2997
105,69,13.9433
105,70,14.1480
105,71,13.8447
105,72,14.2429
105,73,14.1913
105,74,14.3343
105,75,14.0590
105,76,13.9066
105,77,14.1784
105,78,14.0177
105,79,14.1941
105,80,14.0657
105,81,14.2177
105,82,14.1318
105,83,14.0132
105,84,14.1965
105,85,13.9458
105,86,14.1606
105,87,14.2011
105,88,13.8128
105,89,14.0811
105,90,13.8414
105,91,13.7970
105,92,13.8898
105,93,13.8748
105,94,13.7654
105,95,13.8280
105,96,13.8646
105,97,13.8451
105,98,13.5160
105,99,13.0987
105,100,13.0889
120,1,11.7770
120,2,10.9060
120,3,11.6501
120,4,11.9614
120,5,12.0015
120,6,11.9903
120,7,11.9537
120,8,12.0657
120,9,12.0224
120,10,12.0748
120,11,11.9111
120,12,12.0203
120,13,12.1537
120,14,11.9115
120,15,12.1860
120,16,11.9509
120,17,12.1647
120,18,12.1408
120,19,12.0861
120,20,11.5948
120,21,12.1735
120,22,12.3551
120,23,12.1666
120,24,12.0743
120,25,12.2190
120,26,12.4879
120,27,11.5905
120,28,11.5257
120,29,11.9115
120,30,11.9166
120,31,11.0458
120,32,11.6375
120,33,12.1535
120,34,12.3769
120,35,12.3276
120,36,12.3541
120,37,12.3600
120,38,12.1627
120,39,12.3707
120,40,12.4117
120,41,12.3751
120,42,12.2482
120,43,11.9301
120,44,12.4144
120,45,12.5026
120,46,12.1468
120,47,12.2308
120,48,12.2753
120,49,12.2808
120,50,12.2772
120,51,12.2695
120,52,12.1692
120,53,11.5406
120,54,11.9743
120,55,12.2425
120,56,12.2634
120,57,12.0830
120,58,12.3974
120,59,12.1775
120,60,12.2650
120,61,12.2778
120,62,12.2545
120,63,12.2612
120,64,12.3984
120,65,12.1729
120,66,12.4042
120,67,12.4748
120,68,12.1172
120,69,12.4856
120,70,12.1189
120,71,12.2399
120,72,12.2718
120,73,12.2483
120,74,12.3316
120,75,12.3186
120,76,12.2814
120,77,12.4786
120,78,12.3582
120,79,12.2208
120,80,12.2680
120,81,12.1220
120,82,12.3411
120,83,12.4807
120,84,12.1300
120,85,12.1957
120,86,12.1327
120,87,12.3467
120,88,12.3215
120,89,12.1880
120,90,12.3430
120,91,12.2929
120,92,12.2605
120,93,12.3600
120,94,12.3290
120,95,12.2350
120,96,12.3066
120,97,12.1904
120,98,12.3411
120,99,12.4052
120,100,12.1657
135,1,10.8801
135,2,10.7525
135,3,10.6559
135,4,10.8862
135,5,10.8439
135,6,10.6442
135,7,10.8696
135,8,10.9405
135,9,10.6379
135,10,10.9641
135,11,10.8481
135,12,10.7359
135,13,10.9460
135,14,10.8223
135,15,10.6628
135,16,10.6950
135,17,10.7606
135,18,10.6721
135,19,10.8297
135,20,10.7984
135,21,10.8085
135,22,10.7012
135,23,10.7545
135,24,10.7039
135,25,10.6835
135,26,10.9837
135,27,10.7497
135,28,10.9412
135,29,10.7290
135,30,10.7517
135,31,10.6435
135,32,10.8602
135,33,10.6068
135,34,10.7072
135,35,10.8280
135,36,10.9167
135,37,10.5860
135,38,10.9128
135,39,10.6695
135,40,10.8582
135,41,10.8649
135,42,10.8589
135,43,10.6667
135,44,10.7766
135,45,10.7069
135,46,10.7656
135,47,10.9026
135,48,10.8435
135,49,10.7149
135,50,10.9372
135,51,10.8083
135,52,10.9206
135,53,10.8621
135,54,10.9020
135,55,10.6525
135,56,10.9150
135,57,10.8391
135,58,10.7265
135,59,10.8753
135,60,10.7130
135,61,10.7538
135,62,10.4006
135,63,10.8897
135,64,10.8322
135,65,10.7957
135,66,10.7471
135,67,10.7234
135,68,10.7270
135,69,10.8259
135,70,10.5852
135,71,10.8070
135,72,10.7686
135,73,10.7885
135,74,10.7115
135,75,10.7602
135,76,10.6973
135,77,10.8397
135,78,10.6470
135,79,10.7622
135,80,10.6480
135,81,10.8399
135,82,10.6353
135,83,10.7235
135,84,10.6921
135,85,10.7212
135,86,10.5675
135,87,10.7109
135,88,10.6017
135,89,10.6656
135,90,10.8049
135,91,10.7491
135,92,10.5718
135,93,10.8038
135,94,10.6781
135,95,10.5508
135,96,10.7231
135,97,10.7269
135,98,10.5549
135,99,10.6817
135,100,10.7067
150,1,9.4753
150,2,9.6827
150,3,9.5507
150,4,9.5730
150,5,9.4868
150,6,9.7050
150,7,9.5013
150,8,9.4061
150,9,9.6661
150,10,9.6093
150,11,9.6389
150,12,9.5839
150,13,9.5987
150,14,9.5337
150,15,9.5121
150,16,9.5867
150,17,9.5469
150,18,9.5563
150,19,9.6384
150,20,9.6911
150,21,9.5258
150,22,9.6786
150,23,9.7209
150,24,9.6784
150,25,9.5689
150,26,9.6396
150,27,9.6470
150,28,9.5050
150,29,9.7046
150,30,9.7616
150,31,9.6282
150,32,9.4545
150,33,9.6177
150,34,9.7286
150,35,9.5837
150,36,9.7151
150,37,9.6107
150,38,9.6503
150,39,9.4619
150,40,9.5659
150,41,9.5223
150,42,9.3494
150,43,9.5209
150,44,9.6570
150,45,9.5414
150,46,9.4816
150,47,9.5578
150,48,9.7038
150,49,9.4947
150,50,9.5320
150,51,9.5254
150,52,9.6166
150,53,9.3859
150,54,9.5376
150,55,9.5243
150,56,9.6609
150,57,9.7453
150,58,9.6774
150,59,9.5709
150,60,9.5036
150,61,9.7106
150,62,9.5717
150,63,9.5442
150,64,9.6339
150,65,9.5261
150,66,9.5944
150,67,9.3842
150,68,9.6122
150,69,9.4912
150,70,9.6248
150,71,9.5957
150,72,8.9071
150,73,8.9197
150,74,9.4025
150,75,9.7081
150,76,9.5857
150,77,9.6729
150,78,9.6737
150,79,9.6871
150,80,9.5968
150,81,9.5401
150,82,9.6825
150,83,9.5637
150,84,9.5944
150,85,9.8160
150,86,9.5080
150,87,9.5879
150,88,9.6572
150,89,9.7082
150,90,9.4421
150,91,9.7405
150,92,9.6553
150,93,9.7271
150,94,9.5146
150,95,9.6383
150,96,9.6521
150,97,9.4206
150,98,9.6456
150,99,9.6819
150,100,9.6477
